"sid","trialNum","category","storyidx","nextCategory","nextData","nextDataRel","categoryRepetition","storyRepetition"
237,8,"Median",22,"Median","modified","related",TRUE,TRUE
237,9,"Median",22,"Median","random","unrelated",TRUE,FALSE
237,10,"Median",4,"Median","modified","related",TRUE,TRUE
237,11,"Median",4,"Median","random","unrelated",TRUE,FALSE
237,12,"Median",5,"Mode","identical","related",FALSE,TRUE
237,13,"Mode",5,"Mode","random","unrelated",TRUE,FALSE
237,14,"Mode",8,"Mode","modified","related",TRUE,TRUE
237,15,"Mode",8,"Mode","random","unrelated",TRUE,FALSE
237,16,"Mode",10,"Mode","modified","related",TRUE,TRUE
237,17,"Mode",10,NA,NA,NA,NA,NA
240,0,"Mean",7,"Mean","modified","related",TRUE,TRUE
240,1,"Mean",7,"Mean","modified","related",TRUE,TRUE
240,2,"Mean",7,"Mean","modified","related",TRUE,TRUE
240,3,"Mean",7,"Mean","modified","related",TRUE,TRUE
240,4,"Mean",7,"Median","identical","related",FALSE,TRUE
240,5,"Median",7,"Median","modified","related",TRUE,TRUE
240,6,"Median",7,"Median","modified","related",TRUE,TRUE
240,7,"Median",7,"Median","random","unrelated",TRUE,FALSE
240,8,"Median",12,"Median","random","unrelated",TRUE,FALSE
240,9,"Median",15,"Median","random","unrelated",TRUE,FALSE
240,10,"Median",10,"Mode","identical","related",FALSE,TRUE
240,11,"Mode",10,"Mode","random","unrelated",TRUE,FALSE
240,12,"Mode",9,"Mode","random","unrelated",TRUE,FALSE
240,13,"Mode",22,"Mode","random","unrelated",TRUE,FALSE
240,14,"Mode",32,"Mode","random","unrelated",TRUE,FALSE
240,15,"Mode",1,NA,NA,NA,NA,NA
241,0,"Mean",28,"Mean","modified","related",TRUE,TRUE
241,1,"Mean",28,"Mean","random","unrelated",TRUE,FALSE
241,2,"Mean",5,"Mean","modified","related",TRUE,TRUE
241,3,"Mean",5,"Mean","random","unrelated",TRUE,FALSE
241,4,"Mean",24,"Median","identical","related",FALSE,TRUE
241,5,"Median",24,"Median","modified","related",TRUE,TRUE
241,6,"Median",24,"Median","modified","related",TRUE,TRUE
241,7,"Median",24,"Median","random","unrelated",TRUE,FALSE
241,8,"Median",6,"Median","random","unrelated",TRUE,FALSE
241,9,"Median",27,"Median","random","unrelated",TRUE,FALSE
241,10,"Median",8,"Mode","identical","related",FALSE,TRUE
241,11,"Mode",8,"Mode","modified","related",TRUE,TRUE
241,12,"Mode",8,"Mode","modified","related",TRUE,TRUE
241,13,"Mode",8,"Mode","modified","related",TRUE,TRUE
241,14,"Mode",8,"Mode","random","unrelated",TRUE,FALSE
241,15,"Mode",20,NA,NA,NA,NA,NA
257,0,"Mean",23,"Mean","modified","related",TRUE,TRUE
257,1,"Mean",23,"Mean","modified","related",TRUE,TRUE
257,2,"Mean",23,"Mean","random","unrelated",TRUE,FALSE
257,3,"Mean",24,"Mean","modified","related",TRUE,TRUE
257,4,"Mean",24,"Mean","modified","related",TRUE,TRUE
257,5,"Mean",24,"Median","identical","related",FALSE,TRUE
257,6,"Median",24,"Median","modified","related",TRUE,TRUE
257,7,"Median",24,"Median","modified","related",TRUE,TRUE
257,8,"Median",24,"Median","modified","related",TRUE,TRUE
257,9,"Median",24,"Median","modified","related",TRUE,TRUE
257,10,"Median",24,"Median","random","unrelated",TRUE,FALSE
257,11,"Median",18,"Mode","identical","related",FALSE,TRUE
257,12,"Mode",18,"Mode","modified","related",TRUE,TRUE
257,13,"Mode",18,"Mode","random","unrelated",TRUE,FALSE
257,14,"Mode",20,"Mode","modified","related",TRUE,TRUE
257,15,"Mode",20,"Mode","random","unrelated",TRUE,FALSE
257,16,"Mode",32,"Mode","modified","related",TRUE,TRUE
